Response_ID,Timestamp,Age,Gender,Region,Education_Level,Satisfaction_Score,NPS_Score,Primary_Device,Usage_Frequency,Most_Used_Feature,Feedback_Text
RES_0001,2026-04-13 03:50:08.407799,43.0,Male,Latin America,High School,4.0,2,Smart Watch,Weekly,Pricing,Decent features for the price.
RES_0002,2026-03-22 08:50:08.407799,74.0,Male,ME-Africa,High School,4.0,7,Tablet,Weekly,Pricing,Solid performance.
RES_0003,2026-04-09 15:50:08.407799,64.0,Male,Asia-Pacific,Bachelor,5.0,8,Smart Watch,Monthly,User Interface,Best app I've used this year.
RES_0004,2026-03-22 02:50:08.407799,74.0,Female,Europe,PhD,2.0,2,Tablet,Monthly,Pricing,Slow performance at times.
RES_0005,2026-04-13 04:50:08.407799,,Female,Asia-Pacific,PhD,4.0,2,Desktop,Rarely,User Interface,Solid performance.
RES_0006,2026-03-28 12:50:08.407799,64.0,Female,Europe,High School,3.0,1,Smart Watch,Monthly,Feature Set,Needs more updates.
RES_0007,2026-04-08 23:50:08.408532,73.0,Male,ME-Africa,High School,3.0,7,Desktop,Monthly,Feature Set,"It's okay, does what it needs to do."
RES_0008,2026-03-30 19:50:08.408532,47.0,Female,Europe,Bachelor,3.0,9,Mobile,Daily,Feature Set,Needs more updates.
RES_0009,2026-04-11 23:50:08.408532,60.0,Male,Latin America,Bachelor,5.0,0,Tablet,Rarely,Customer Support,"Love the interface, very intuitive!"
RES_0010,2026-04-17 01:50:08.408532,65.0,Male,North America,Bachelor,5.0,7,Smart Watch,Weekly,Feature Set,Exceeded my expectations.
RES_0011,2026-03-30 21:50:08.408532,34.0,Female,North America,PhD,3.0,6,Desktop,Monthly,Pricing,Average experience.
RES_0012,2026-03-27 11:50:08.408532,43.0,Male,ME-Africa,PhD,,6,Tablet,Weekly,Performance,Customer support was unhelpful.
RES_0013,2026-03-21 17:50:08.408532,53.0,Male,Latin America,PhD,4.0,2,Tablet,Weekly,User Interface,Good experience overall.
RES_0014,2026-04-18 02:50:08.408532,18.0,Male,Asia-Pacific,High School,4.0,0,Mobile,Daily,Customer Support,Solid performance.
RES_0015,2026-04-19 11:50:08.408532,25.0,Male,Latin America,PhD,2.0,3,Mobile,Monthly,Feature Set,A bit frustrated with the glitches.
RES_0016,2026-03-25 01:50:08.408532,66.0,Male,North America,Master,4.0,8,Tablet,Rarely,Feature Set,Good experience overall.
RES_0017,2026-03-22 11:50:08.408532,52.0,Female,North America,Master,4.0,4,Tablet,Monthly,Performance,Good experience overall.
RES_0018,2026-03-26 06:50:08.408532,69.0,Male,Latin America,Bachelor,5.0,0,Smart Watch,Weekly,Performance,Exceeded my expectations.
RES_0019,2026-03-24 13:50:08.408532,32.0,Female,Latin America,PhD,3.0,4,Tablet,Rarely,Customer Support,Average experience.
RES_0020,2026-03-23 07:50:08.408532,64.0,Female,North America,Master,4.0,7,Smart Watch,Monthly,User Interface,Works well but interface could be cleaner.
RES_0021,2026-04-05 08:50:08.408532,73.0,Male,Asia-Pacific,Bachelor,4.0,7,Tablet,Weekly,Feature Set,Works well but interface could be cleaner.
RES_0022,2026-03-21 04:50:08.408909,39.0,Male,ME-Africa,PhD,5.0,4,Mobile,Weekly,Customer Support,"Love the interface, very intuitive!"
RES_0023,2026-04-08 00:50:08.408909,31.0,Male,ME-Africa,High School,4.0,8,Smart Watch,Daily,Pricing,Solid performance.
RES_0024,2026-03-31 20:50:08.408909,,Female,Latin America,Master,4.0,0,Desktop,Daily,Pricing,Good experience overall.
RES_0025,2026-04-15 04:50:08.408909,45.0,Male,ME-Africa,High School,3.0,3,Mobile,Daily,Customer Support,Average experience.
RES_0026,2026-04-13 02:50:08.408909,40.0,Female,North America,PhD,5.0,2,Smart Watch,Weekly,Feature Set,Best app I've used this year.
RES_0027,2026-04-11 16:50:08.408909,31.0,Male,North America,Master,4.0,1,Smart Watch,Monthly,Customer Support,Solid performance.
RES_0028,2026-04-02 19:50:08.408909,41.0,Female,Latin America,PhD,2.0,7,Desktop,Daily,Feature Set,A bit frustrated with the glitches.
RES_0029,2026-03-26 09:50:08.408909,19.0,Male,Latin America,High School,4.0,6,Smart Watch,Monthly,Performance,Decent features for the price.
RES_0030,2026-04-02 14:50:08.408909,62.0,Male,Latin America,Master,3.0,8,Tablet,Daily,Customer Support,Needs more updates.
RES_0031,2026-03-25 02:50:08.408909,43.0,Non-Binary,Asia-Pacific,High School,2.0,1,Desktop,Rarely,Feature Set,Interface is confusing.
RES_0032,2026-04-18 03:50:08.408909,31.0,Female,ME-Africa,PhD,5.0,3,Mobile,Rarely,Customer Support,Exceeded my expectations.
RES_0033,2026-03-23 08:50:08.408909,73.0,Male,Latin America,PhD,4.0,5,Mobile,Daily,Customer Support,Good experience overall.
RES_0034,2026-03-23 16:50:08.408909,68.0,Female,Europe,High School,4.0,10,Tablet,Weekly,Feature Set,Good experience overall.
RES_0035,2026-04-08 15:50:08.408909,24.0,Female,Europe,Master,3.0,2,Mobile,Daily,Feature Set,Average experience.
RES_0036,2026-04-05 20:50:08.408909,20.0,Female,North America,High School,5.0,7,Smart Watch,Daily,User Interface,Best app I've used this year.
RES_0037,2026-04-06 06:50:08.408909,64.0,Female,ME-Africa,PhD,2.0,2,Smart Watch,Weekly,Customer Support,A bit frustrated with the glitches.
RES_0038,2026-04-16 05:50:08.408909,40.0,Male,Latin America,High School,4.0,1,Tablet,Rarely,Pricing,Good experience overall.
RES_0039,2026-04-12 19:50:08.408909,63.0,Male,Europe,PhD,5.0,2,Mobile,Monthly,Customer Support,Best app I've used this year.
RES_0040,2026-04-18 17:50:08.408909,,Male,ME-Africa,High School,5.0,10,Mobile,Daily,Customer Support,"Love the interface, very intuitive!"
RES_0041,2026-03-29 13:50:08.408909,64.0,Female,North America,Master,4.0,5,Tablet,Weekly,Feature Set,Decent features for the price.
RES_0042,2026-04-16 01:50:08.408909,62.0,Female,Asia-Pacific,Master,3.0,1,Desktop,Daily,Customer Support,Average experience.
RES_0043,2026-03-22 05:50:08.408909,35.0,Male,ME-Africa,High School,5.0,7,Mobile,Weekly,Customer Support,"Love the interface, very intuitive!"
RES_0044,2026-03-25 11:50:08.408909,55.0,Male,ME-Africa,High School,4.0,0,Desktop,Monthly,Pricing,Works well but interface could be cleaner.
RES_0045,2026-04-18 13:50:08.408909,52.0,Female,Asia-Pacific,Master,5.0,6,Mobile,Monthly,Feature Set,Exceeded my expectations.
RES_0046,2026-03-21 19:50:08.408909,68.0,Prefer not to say,ME-Africa,PhD,5.0,1,Mobile,Rarely,Customer Support,Best app I've used this year.
RES_0047,2026-04-06 07:50:08.408909,32.0,Female,North America,Master,1.0,9,Mobile,Weekly,Performance,Waste of money.
RES_0048,2026-04-05 15:50:08.408909,42.0,Male,North America,PhD,2.0,5,Mobile,Weekly,User Interface,Slow performance at times.
RES_0049,2026-04-06 00:50:08.408909,72.0,Male,Asia-Pacific,High School,4.0,1,Smart Watch,Rarely,Pricing,Decent features for the price.
RES_0050,2026-03-23 15:50:08.408909,54.0,Male,Latin America,High School,3.0,1,Desktop,Rarely,Customer Support,"It's okay, does what it needs to do."
RES_0051,2026-03-30 07:50:08.408909,45.0,Non-Binary,Europe,PhD,3.0,9,Desktop,Weekly,Performance,Some bugs but manageable.
RES_0052,2026-04-07 05:50:08.408909,27.0,Male,Latin America,High School,5.0,7,Mobile,Rarely,Customer Support,Best app I've used this year.
